Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Approved by OMB
Been incarcerated with past 12 months?,Been incarcerated within past 12 months?,"New Value Set
PHVS_YNRD_CDC",
Have you met sex partners through the Internet in the last 12 months?,Did the patient use an online computer site to exchange messages by typing them onscreen to engage in conversation with other visitors to the site for the purpose of having sex?,"New Value Set
PHVS_YNRD_CDC",
Total number of sex partners last 12 months?,"Total number of sex partners that the case patient has had in the last 12 months.  Total partners equal the sum of all male, female, and transgender partners during the period.",,
Clinician-observed lesion(s) indicative of syphilis ,"If condition = any stage of syphilis, report anatomic site(s) of clinician-observed lesion(s) (e.g., chancre, rash, condyloma lata) at time of initial exam or specimen collection.  Mark all that apply.","New Value Set
PHVS_Clinician-observed lesions_CDC",
Type of nontreponemal serologic test for syphilis,What type of non-treponemal serologic test for syphilis was performed on specimen collected to support case patient's diagnosis of syphilis?,"New Value Set
PHVS_nontreponemalserologictest_CDC",
Quantitative syphilis test result,"If the test performed provides a quantifiable result, provide quantitative result (e.g. if RPR is positive, provide titer, e.g. 1:64)
Example: If titer is 1:64, enter 64; if titer is 1:1024, enter 1024.",,
Patient refused to answer questions regarding number of sex partners,Patient refused to answer questions regarding number of sex partners,PHVS_YesNoUnknown_CDC,
Unknown number of sex partners in last 12 months,Unknown number of sex partners in last 12           months,PHVS_YesNoUnknown_CDC,
Date of laboratory specimen collection,Date of collection of initial laboratory specimen used for diagnosis of health event reported in this case report. PREFERRED date for assignment of MMWR week.  First date in hierarchy of date types associated with case report/event.,,
Specimen source,Anatomic site or specimen type from which positive lab specimen was collected.,"New Value Set
PHVS_SpecimenSource_CDC",
Date of lab result,Date result sent from Reporting Laboratory.,,
HIV status documented through eHARS Record Search? ,Was the HIV status of this case investigated through search of eHARS?,PHVS_YesNoUnknown_CDC,
eHARS Stateno,Stateno from eHARS registry for HIV+ cases.,,
"Trans_Categ (eHARS, person dataset)",Mode of exposure from eHARS for HIV+ cases.,"New Value Set
PHVS_TransCateg_CDC",
Case sampled for enhanced investigation?,Was this case selected by reporting jurisdiction for enhanced investigarion?,PHVS_YesNoUnknown_CDC,
Method of case detection,How case patient first came to the attention of the health department for this condition,"New Value Set
PHVS_DetectionMethod_CDC",
Type of treponemal serologic test for syphilis,What type of treponemal serologic test for syphilis was performed on specimen collected to support case patient's diagnosis of syphilis?,"New Value Set
PHVS_treponemalserologic_CDC",
Count,represents # of cases reported in this 'record'; supports aggregate-(when >1) or case-specific (when=1) reporting.,#####  Default=00001 for case-specific records where a single case is represented by data record.,
Event date,"date of disease in YYMMDD format.  This date depends upon how case dates are assigned in the STD program. i.e., date could be the onset of symptoms date, diagnosis date, laboratory result date, date case first recognized and/or reported to STD program, or date case reported to CDC.",YYMMDD  Unknown=999999,
Datetype,describes the type of date provided in Event date,1=Onset Date 2=Date of diagnosis 3=Date of laboratory result 4=Date of first report to coummunity health system 5=State/MMWR report date 9=Unknown,
NETSS version,What version of the NETSS record layout are you providing?,i.e. Version 3 (January 2011)     03=Version 3,
STD-Associated Lab Tests,STD-Associated Lab Tests,STD-Associated RCMT Lab Tests (OBX-3),
STD-Associated Lab Results,STD-Associated Lab Results,STD-Associated RCMT Lab Results (OBX-5),
