Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Group,Group Description,Resource
Similar exposures,"Exposed to the same environment, animal, or objects as a lab-confirmed anthrax case?                                             ",PHVS_YesNoUnknown_CDC,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Illicit drugs,Contact with illicit drugs?,PHVS_YesNoUnknown_CDC,Illicit Drug Use,"Questions related to the patient's use of drugs that were not prescribed to them by a doctor, such as illegal drugs.",MedicationStatement
Received injection,Received an injection?,PHVS_YesNoUnknown_CDC,Preventative Vaccine,Questions related to preventative vaccines for the disease that the patient recieved in the past.,Immunization
Took public transportation  ,Took public transportation?  ,PHVS_YesNoUnknown_CDC,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Transportation type,"If Took public transportation is ""Yes"", what form of transportation did the subject take (""Bus""; ""Train"";""Light rail""; ""Subway""; ""Ferry""; ""Other"")",,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Other transportation,"If the patient took Other form of public transportation, describe",,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Attended gathering,"Attended a large gathering (e.g., concert, sporting event)?",PHVS_YesNoUnknown_CDC,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Congregate,"Attended a place where people congregate (e.g., shopping mall, relgious services)?",PHVS_YesNoUnknown_CDC,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Travel,"Traveled out of county, state, or country?   ",PHVS_YesNoUnknown_CDC,Travel and Immigration History,Questions related to a patient's travel or immigration history.,Questionnaire
Latitude,Latitude of suspected exposure location (only to be sent during a bioterrorism event),,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
Longitude,Longitude of suspected exposure location (only to be sent during a bioterrorism event),,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
Vaccine,Was anthrax vaccine received?,PHVS_YesNoUnknown_CDC,Treatment (Immunization),Questions related to immunizations the patient recieved as a part of treatment for this disease.,Immunization
Vaccine received,"If anthrax vaccine received is ""Yes"", specify what was received from ""Post-exposure vaccine (1,2,or 3 doses)"", ""Partial series of pre-exposure vaccine"", ""Full series of pre-exposure vaccine""",,Treatment (Immunization),Questions related to immunizations the patient recieved as a part of treatment for this disease.,Immunization
Vaccine dose,"If anthrax vaccine received is ""Yes"" specify the number of doses received or vaccination status, from ""1"", ""2"", ""3"", ""<5"", ""Outdated on annual boosters"", ""Fully updated on annual boosters"", ""Unknown""",,Treatment (Immunization),Questions related to immunizations the patient recieved as a part of treatment for this disease.,Immunization
Post exposure antibiotics,Received Post-Exposure Antibiotics   ,PHVS_YesNoUnknown_CDC,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
Antibiotics not taken,Antibiotics not taken or discontinued?,PHVS_YesNoUnknown_CDC,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
Antibiotics not taken specify,"If Antibiotics were not taken or were discontinued is ""Yes"", select the primary reason why they were not taken ""Low perceived risk"", ""Adverse events"", ""Fear of side effects"", ""Other"", ""Unknown""",,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
