Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Wild game,Patient consumed wild game in the 7 days before illness onset,Yes; No; Maybe; Unknown
Dried meat,Patient consumed dried meat in the 7 days before illness onset,Yes; No; Maybe; Unknown
Pepperoni,Patient consumed dried meat that was pepperoni,Yes; No
Salami,Patient consumed dried meat that was salami,Yes; No
Sausage,Patient consumed dried meat that was sausage,Yes; No
Other dried meat,"Patient consumed dried meat that was not pepperoni, salami, or sausage",Yes; No
Typle of other dried meat,Specify other type of dried meat consumed,
Jerky,Patient consumed jerkey of any type in the 7 days before illness onset,Yes; No; Maybe; Unknown
Raw milk,Patient consumed raw milk in the 7 days before illness onset,Yes; No; Maybe; Unknown
Raw cheese,Patient consumed cheese made with raw milk in the 7 days before illness onset,Yes; No; Maybe; Unknown
Raw cheese type,Type of raw milk cheese consumed,
Raw cheese location,Location(s) where raw milk cheese was purchased,
Raw cheese date,Date(s) when raw milk cheese was purchased,
Raw ice cream,Patient consumed ice cream made with raw milk in the 7 days before illness onset,Yes; No; Maybe; Unknown
Raw juice,Patient consumed raw or unpasteurized juice or cide in the 7 dayse before illness onset,Yes; No; Maybe; Unknown
Lettuce,Patient consumed lettuce of any kind in the 7 days before illness onset,Yes; No; Maybe; Unknown
Lettuce at home,Patient consumed lettuce of any kind at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Lettuce at home purchase location,Location(s) where lettuce consumed at home was purchased,
Lettuce at home purchase date,Date(s) when lettuce consumed at home was purchased,
Lettuce at home brand,Brand(s) of lettuce purchased for home consumption,
Loose lettuce at home,Patient consumed loose lettuce of any kind in the 7 days before illness onset,Yes; No
Prepackaged lettuce at home,Patient consumed prepackaged lettuce of any kind in the 7 days before illness onset,Yes; No
Unknown packaging of lettuce at home,Patient unable to recall how lettuce consumed at home was packaged,Yes; No
Lettuce away from home,Patient consumed lettuce of any kind away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Lettuce away from home location,Location(s) where the lettuce was consumed away from home,
Mesclun lettuce,Patient consumed mesclun lettuce in the 7 days before illness onset,Yes; No; Maybe; Unknown
Mesclun lettuce at home,Patient consumed mesclun lettuce at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Mesclun lettuce at home purchase location,Location(s) where mesclun lettuce consumed at home was purchased,
Mesclun lettuce at home purchase date,Date(s) when mesclun lettuce consumed at home was purchased,
Mesclun lettuce at home brand,Brand(s) of mesclun lettuce consumed at home,
Loose mesclun lettuce at home,Patient consumed loose mesclun lettuce at home,Yes; No
Prepackaged mesclun lettuce at home,Patient consumed prepackaged mesclun lettuce at home,Yes; No
Unknown packaging of mesclun lettuce at home,Patient unable to recall how mesclun lettuce consumed at home was purchased,Yes; No
Mesclun lettuce away from home,Patient consumed mesclun lettuce away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Mesclun lettuce away from home location,Location(s) where the mesclun lettuce was consumed away from home,
Iceberg lettuce,Patient consumed iceberg lettuce in the 7 days before illness onset,Yes; No; Maybe; Unknown
Iceberg lettuce at home,Patient consumed iceberg lettuce at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Iceberg lettuce at home purchase location,Location(s) where iceberg lettuce consumed at home was purchased,
Iceberg lettuce at home purchase date,Date(s) when iceberg lettuce consumed at home was purchased,
Iceberg lettuce at home brand,Brand(s) of iceberg lettuce consumed at home,
Loose iceberg lettuce at home,Patient consumed iceberg mesclun lettuce at home,Yes; No
Prepackaged iceberg lettuce at home,Patient consumed prepackaged iceberg lettuce at home,Yes; No
Unknown packaging of iceberg lettuce at home,Patient unable to recall how iceberg lettuce consumed at home was purchased,Yes; No
Iceberg lettuce away from home,Patient consumed iceberg lettuce away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Iceberg lettuce away from home location,Location(s) where the iceberg lettuce was consumed away from home,
Romaine lettuce,Patient consumed romaine lettuce in the 7 days before illness onset,Yes; No; Maybe; Unknown
Romaine lettuce at home,Patient consumed romaine lettuce at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Romaine lettuce at home purchase location,Location(s) where romaine lettuce consumed at home was purchased,
Romaine lettuce at home purchase date,Date(s) when romaine lettuce consumed at home was purchased,
Romaine lettuce at home brand,Brand(s) of romaine lettuce consumed at home,
Loose romaine lettuce at home,Patient consumed loose romaine lettuce at home,Yes; No
Prepackaged romaine lettuce at home,Patient consumed prepackaged romaine lettuce at home,Yes; No
Unknown packaging of romaine lettuce at home,Patient unable to recall how romaine lettuce consumed at home was purchased,Yes; No
Romaine lettuce away from home,Patient consumed romaine lettuce away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Romaine lettuce away from home location,Location(s) where the romaine lettuce was consumed away from home,
Red leaf lettuce,Patient consumed red leaf lettuce in the 7 days before illness onset,Yes; No; Maybe; Unknown
Red leaf lettuce at home,Patient consumed red leaf lettuce at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Red leaf lettuce at home purchase location,Location(s) where red leaf lettuce consumed at home was purchased,
Red leaf lettuce at home purchase date,Date(s) when red leaf lettuce consumed at home was purchased,
Red leaf lettuce at home brand,Brand(s) of red leaf lettuce consumed at home,
Loose red leaf lettuce at home,Patient consumed loose red leaf lettuce at home,Yes; No
Prepackaged red leaf lettuce at home,Patient consumed prepackaged red leaf lettuce at home,Yes; No
Unknown packaging of red leaf lettuce at home,Patient unable to recall how red leaf lettuce consumed at home was purchased,Yes; No
Red leaf lettuce away from home,Patient consumed red leaf lettuce away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Red leaf lettuce away from home location,Location(s) where the red leaf lettuce was consumed away from home,
Spinach,Patient consumed spinach in the 7 days before illness onset,Yes; No; Maybe; Unknown
Spinach at home,Patient consumed spinach at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Spinach at home purchase location,Location(s) where spinach consumed at home was purchased,
Spinach at home purchase date,Date(s) when spinach consumed at home was purchased,
Spinach at home brand,Brand(s) of spinach consumed at home,
Loose spinach at home,Patient consumed spinach at home,Yes; No
Prepackaged spinach at home,Patient consumed prepackaged spinach at home,Yes; No
Unknown packaging of spinach at home,Patient unable to recall how spinach consumed at home was purchased,Yes; No
Spinach away from home,Patient consumed spinach away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Spinach away from home location,Location(s) where the spinach was consumed away from home,
Other leafy greens,Patient consumed other leafy greens in the 7 days before illness onset,Yes; No; Maybe; Unknown
Other leafy greens at home,Patient consumed other leafy greens at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Other leafy greens at home purchase location,Location(s) where other leafy greens consumed at home was purchased,
Other leafy greens at home purchase date,Date(s) when other leafy greens consumed at home was purchased,
Other leafy greens at home brand,Brand(s) of other leafy greens consumed at home,
Loose other leafy greens at home,Patient consumed other leafy greens at home,Yes; No
Prepackaged other leafy greens at home,Patient consumed prepackaged other leafy greens at home,Yes; No
Unknown packaging of other leafy greens at home,Patient unable to recall how other leafy greens consumed at home was purchased,Yes; No
Other leafy greens away from home,Patient consumed other leafy greens away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Other leafy greens away from home location,Location(s) where the other leafy greens was consumed away from home,
Sprouts,Patient consumed sprouts of any kind in the 7 days before illness onset,Yes; No; Maybe; Unknown
Sprouts at home,Patient consumed sprouts of any kind at home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Sprouts at home purchase locations,Location(s) where sprouts consumed at home were purchased,
Sprouts at home purchase date,Date(s) when sprouts consumed at home were purchased,
Sprouts at home brand,Brand(s) of sprouts consumed at home,
Sprouts away from home,Patient consumed sprouts of any kind away from home in the 7 days before illness onset,Yes; No; Maybe; Unknown
Sprouts away from home location,Location(s) where sprouts were consumed away from home,
Sprouts way from home type,Type of sprouts consumed outside the home,
Petting zoo,Patient visited a petting zoo in the 7 days before illness onset,Yes; No; Maybe; Unknown
Farm with livestock,"Patient visited, worked, or lived on a farm with livestock in the 7 days before illness onset",Yes; No; Maybe; Unknown
Farm and Feed store,Patient visited an agricultural 'Farm and Feed' store in the 7 days before illness onset,Yes; No; Maybe; Unknown
Pet store,"Patient visited a pet store, swap meets, or other places where animals/birds are sold or shown in the 7 dayse before illness onset",Yes; No; Maybe; Unknown
Fair,"Patient visited a county or state fair, 4-H event, or similar even with animals in the 7 days before illness onset",Yes; No; Maybe; Unknown
Pet treats,Patient had contact with pet treats or chews in the 7 days before illness onset,Yes; No; Maybe; Unknown
Animal droppings,Patient had contact with dried animal droppings or pellets in the 7 days before illness onset,Yes; No; Maybe; Unknown
Daycare,Patient attended or had contact with a daycare facility in the 7 days before illness onset,Yes; No; Maybe; Unknown
Any travel,Patient spent all or some of the 7 days before illness onset outside of their state of residence,Yes; No; Maybe; Unknown
Domestic travel,Postal code abbreviation of state(s) where patient traveled,
Domestic travel start date,Domestic travel start date,
Domestic travel end date,Domestic travel end date,
International travel,Countries visited in the 7 days before illness onset,
International travel start date,International travel start date,
International travel end date,International travel end date,
Group meals,Patient attended a group meal in the 7 days before illness onset,Yes; No; Maybe; Unknown
Institution,"Patient visited, lives, or works in an institutional home (jail, nursing home, etc.)",Yes; No; Maybe; Unknown
Institution location,"Location of institution where patient visits, lives, or works",
Source of drinking water,Main source of drinking water for patient during the 7 days before illness onset,City/municipal; Well; Bottled; Unknown
Site ID,Site ID assigned by CDC.  ,
Disease,Foodborne Disease.,
State Lab ID,Identification of Isolate,
Collection Date,Date isolate taken from patient,
Last Updated,Date of Last Modification,
Confirmed,Is isolate confirmed,
Specimen Source,Source of isolate,
Test Result,Serotype/Species/Test Result ,
Local Case ID,Local Case ID for Patient,
City,Patients City of Residence,
State,Patients State of Residence,
Zip code,Patients Zip code of Residence,
County,Patients County of Residence,
DOB,Date of Birth,
Age,Patients Age,
Age Type,Is Age reported in,
Sex,Patients Sex,
Race,Patients Race,
Ethnicity,Patients Ethnicity,
Comments,Comments,
