Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Group,Group Description,Resource
Blood transfusion/organ transplant date,"If subject has received a blood transfusion/organ transplant within the last 12 months, what was the date?",,Medical History,"Questions related to medication or treatment the patient has recieved, not as a part of treatment for this disease.",Questionnaire
Complication(s),Listing of complications as related to this attack.,PHVS_Complications_Malaria,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Other complication(s),Description of the other clinical complications experienced during this episode/attack of malaria,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Treatment Medication(s) ,Listing of treatment medication the subject received for this attack.,PHVS_MedicationTreatment_Malaria,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
Other treatment medication(s),Description of the other treatment medications received for this attack,free text,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
Medications pre-treatment,List of all medications taken during the 2 weeks before starting treatment for malaria,free text,Medical History,"Questions related to medication or treatment the patient has recieved, not as a part of treatment for this disease.",Questionnaire
Medications post-treatment,List of all medications taken during the 4 weeks after starting treatment for malaria,free text,Medical History,"Questions related to medication or treatment the patient has recieved, not as a part of treatment for this disease.",Questionnaire
Malaria treatment taken as prescribed,Was the medicine for malaria treatment taken as prescribed?,PHVS_YesNoUnknown_CDC,Treatment (Medication),Questions related to medication the patient has recieved as a part of treatment for this disease.,MedicationStatement
Symptoms resolved within 7 days after treatment,Did all signs or symptoms of malaria resolve without any additional malaria treatment within 7 days after starting treatment?,PHVS_YesNoUnknown_CDC,Treatment,"Questions related to treatment of the disease, excluding injections and medications.",Questionnaire
Recurrence of symptoms during 4 weeks after treatment,"If signs and symptoms resolved within 7 days after starting treatment, did the patient experience a recurrence of signs or symptoms of malaria during 4 weeks after starting treatment?",PHVS_YesNoUnknown_CDC,Symptoms,Questions related to the symptoms a patient is displaying. ,Observation
Adverse events within 4 weeks after starting treatment,Did the patient experience any adverse events within 4 weeks after receiving the malaria treatment,PHVS_YesNoUnknown_CDC,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 description,Adverse Event description,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 relationship to treatment,Is it suspected a causal relationship between the treatment and the adverse event is at least a reasonable possibility? ,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 time to onset,Time to onset since starting treatment,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 fatal,Was the adverse event fatal?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 life-threatening,Was the adverse event life-threatening?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #1 other seriousness,"Was the adverse event serious in another way (i.e., significant disability/incapacity, medically significant, requiring hospitalization or prolonging of existing hospitalization)?",checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 description,Adverse Event description,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 relationship to treatment,Is it suspected a causal relationship between the treatment and the adverse event is at least a reasonable possibility? ,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 time to onset,Time to onset since starting treatment,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 fatal,Was the adverse event fatal?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 life-threatening,Was the adverse event life-threatening?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #2 other seriousness,"Was the adverse event serious in another way (i.e., significant disability/incapacity, medically significant, requiring hospitalization or prolonging of existing hospitalization)?",checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 description,Adverse Event description,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 relationship to treatment,Is it suspected a causal relationship between the treatment and the adverse event is at least a reasonable possibility? ,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 time to onset,Time to onset since starting treatment,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 fatal,Was the adverse event fatal?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 life-threatening,Was the adverse event life-threatening?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #3 other seriousness,"Was the adverse event serious in another way (i.e., significant disability/incapacity, medically significant, requiring hospitalization or prolonging of existing hospitalization)?",checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 description,Adverse Event description,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 relationship to treatment,Is it suspected a causal relationship between the treatment and the adverse event is at least a reasonable possibility? ,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 time to onset,Time to onset since starting treatment,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 fatal,Was the adverse event fatal?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 life-threatening,Was the adverse event life-threatening?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #4 other seriousness,"Was the adverse event serious in another way (i.e., significant disability/incapacity, medically significant, requiring hospitalization or prolonging of existing hospitalization)?",checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 description,Adverse Event description,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 relationship to treatment,Is it suspected a causal relationship between the treatment and the adverse event is at least a reasonable possibility? ,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 time to onset,Time to onset since starting treatment,free text,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 fatal,Was the adverse event fatal?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 life-threatening,Was the adverse event life-threatening?,checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
Adverse Event #5 other seriousness,"Was the adverse event serious in another way (i.e., significant disability/incapacity, medically significant, requiring hospitalization or prolonging of existing hospitalization)?",checkbox,Complications,Questions related to other illnesses or conditions resulting from the disease.,Condition
