Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Approved by OMB
How was pneumonia diagnosed,"If the value in Pneumonia? is Yes, indicate how the pneumonia was diagnosed.",PHVS_DiagnosedPneumoniaBy_VZ,
Other complications,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether there were other complications not cited here.",PHVS_YesNoUnknown_CDC,
Other complication details,"If the value specified in Other Complications? Is Yes, list the other complication(s)",,
Antiviral treatment,"Indicate whether the patient was treated with acyclovir, famvir, or any licensed antiviral.",PHVS_YesNoUnknown_CDC,
Name of medication,"If the value specified in Antiviral? is yes, list the name of the medication.",PHVS_MedicationReceived _VZ,
Name of the Medication if 'Other',"If Name of Medication is 'other', indicate name of medication",,
Start Date of Medication,Start date of medication.,,
Stop Date of medication,Stop date of medication.,,
Autopsy performed,"If a value of Yes is specified in Did the patient die from this illness or complications associated with this illness?, indicate whether an autopsy was performed for the death.",PHVS_YesNoUnknown_CDC,
Cause of death,"If a value of Yes is specified in Did the patient die from this illness or complications associated with this illness?, indicate the official cause of death.",,
Diagnosed with Varicella before,Indicate whether the patient has a prior diagnosis of varicella.,PHVS_YesNoUnknown_CDC,
Age at diagnosis,Age at diagnosis,,
Age at diagnosis units,Age at diagnosis units,PHVS_AgeUnit_UCUM,
Previous Case Diagnosed by,Indicate who diagnosed the illness; if none of the choices apply choose Other.,PHVS_Diagnosed_By_VZ,
Previous Case Diagnosed by Other,"If the value specified in Previous Case Diagnosed by is Other, indicate who diagnosed the case",,
Is this case epi-linked to another confirmed or probable case,Indicate whether this case is epi-linked to another case (confirmed or probable).,PHVS_YesNoUnknown_CDC,
Type of case this case is epi-linked to,"If the value specified in Is this case epi-linked to another confirmed or probable case? is Yes, indicate the kind of case with which the current case is epi-linked.",PHVS_EpilinkedCaseType_VZ,
Transmission setting (setting of exposure),"Location where the patient was exposed to the illness; if none of the specific choices in the list apply, choose Other.",PHVS_TransmissionSetting_NND,
Other transmission setting,"If the value specified in Transmission Setting? is Other, describe the other transmission setting.",,
Is this case a healthcare worker,Indicate whether the patient who is the subject of the current case is a healthcare worker.,PHVS_YesNoUnknown_CDC,
Number of weeks gestation,"If the patient was pregnant during the illness, indicate the number of weeks of gestation at the onset of the illness.",,
Trimester,"If the patient was pregnant during the illness, indicate the trimester at the onset of the illness.",PHVS_PregnancyTrimester_CDC,
Was laboratory testing done for varicella?,Was laboratory testing done for varicella?,PHVS_YesNoUnknown_CDC,
Direct fluorescent antibody (DFA)?,Was direct fluorescent antibody (DFA) testing performed?,PHVS_YesNoUnknown_CDC,
Date of DFA,Date of DFA,,
DFA Result,DFA Result,PHVS_LabTestInterpretation_CDC,
PCR specimen?,PCR specimen?,PHVS_YesNoUnknown_CDC,
Date of PCR specimen,Date of PCR specimen,,
Source of PCR specimen,Source of PCR specimen,PHVS_PCRSpecimenSource_VZ,
Specify other PCR source,Specify other PCR source,,
PCR Result,PCR Result,PHVS_LabTestInterpretation_CDC,
Specify other PCR result,Specify other PCR result,,
Culture performed?,Culture performed?,PHVS_YesNoUnknown_CDC,
Date of Culture Specimen,Date of Culture Specimen,,
Culture Result,Culture Result,PHVS_LabTestInterpretation_CDC,
Was other laboratory testing done?,Was other laboratory testing done?,PHVS_YesNoUnknown_CDC,
Specify Other Test,Specify Other Test,PHVS_LabTestMethod_VZ,
Date of Other test,Date of Other test,,
Other Lab Test Result,Other Lab Test Result,PHVS_LabTestInterpretation_CDC,
Other Test Result Value,Other Test Result Value,,
Serology performed?,Serology performed?,PHVS_YesNoUnknown_CDC,
IgM performed?,IgM performed?,PHVS_YesNoUnknown_CDC,
Type of IgM Test,Type of IgM Test,PHVS_IgMTestType_VZ,
Specify Other IgM Test,Specify Other IgM Test,,
Date IgM Specimen Taken,Date IgM Specimen Taken,,
IgM Test Result,IgM Test Result,PHVS_LabTestInterpretation_CDC,
IgM Test Result Value,IgM Test Result Value,,
IgG performed?,IgG performed?,PHVS_YesNoUnknown_CDC,
Type of IgG Test,Type of IgG Test,PHVS_IgGTestType_VZ,
"If ""Whole Cell ELISA,"" specify manufacturer","If ""Whole Cell ELISA,"" specify manufacturer",PHVS_WholeCellELISAManufacturer_VZ,
"If ""gp ELISA"" specify manufacturer","If ""gp ELISA"" specify manufacturer",PHVS_gpELISAManufacturer_VZ,
Specify Other IgG Test,Specify Other IgG Test,,
Date of IgG - Acute,Date of IgG - Acute,,
IgG - Acute Result,IgG - Acute Result,PHVS_LabTestInterpretation_CDC,
IgG - Acute Test Result Value,IgG - Acute Test Result Value,,
Date of IgG - Convalescent,Date of IgG - Convalescent,,
IgG - Convalescent Result,IgG - Convalescent Result,PHVS_LabTestInterpretation_CDC,
IgG - Convalescent Test Result Value,IgG - Convalescent Test Result Value,,
Were the specimens sent to the CDC for genotyping (molecular typing)?,Were the specimens sent to the CDC for genotyping (molecular typing)?,PHVS_YesNoUnknown_CDC,
Date sent for genotyping,Date sent for genotyping,,
Was specimen sent for strain (wild- or vaccine-type) identification?,Was specimen sent for strain (wild- or vaccine-type) identification?,PHVS_YesNoUnknown_CDC,
Strain Type,Strain Type,PHVS_StrainType_VZ,
Vaccine Administered,The type of vaccine administered. ,PHVS_VaccinesAdministeredCVX_CDC_NIP,
Vaccine Manufacturer,Manufacturer of the vaccine.  ,PHVS_ManufacturersOfVaccinesMVX_CDC_NIP,
Vaccine Lot Number,The vaccine lot number of the vaccine administered.  ,,
Vaccine Administered Date,The date that the vaccine was administered.  ,,
Case Investigation Status Code,"Case Investigation Status Code, from NBS MM",,2016-01-21 00:00:00
Vaccinated per ACIP recommendations,Was subject vaccinated as recommended by ACIP? ,,2016-01-21 00:00:00
Reason not vaccinated per ACIP recommendations,Reason subject not vaccinated as recommended by ACIP,,2016-01-21 00:00:00
"Reason not vaccinated per ACIP, Other","If other, specify reason not vaccinated per ACIP",,2016-01-21 00:00:00
Treatment duration,Number of days antiviral taken,,2016-01-21 00:00:00
Specimen Description,Text description of the specimen,,2016-01-21 00:00:00
"Test Type, other","If other, specify lab test",,2016-01-21 00:00:00
Specimen sent to CDC,Was a specimen sent to CDC for testing?,,2016-01-21 00:00:00
Type of testing at CDC,What type of testing was done at CDC for this subject?,,2016-01-21 00:00:00
"Type of testing at CDC, other","If other, specify testing done at CDC",,2016-01-21 00:00:00
Date specimen sent to CDC,Date specimen sent to CDC,,2016-01-21 00:00:00
Patient Address City ,"Patient address city, from NBS MM",,2016-01-21 00:00:00
"Vaccine Administered Product Type, Other","If other, specify type of vaccine administered",,2016-01-21 00:00:00
"Vaccine Product Manufacturer, Other","If other, specify vaccine manufacturer",,2016-01-21 00:00:00
Date of last dose prior to illness onset,Date of last disease-containing vaccination dose prior to illness onset,,2016-01-21 00:00:00
Vaccination doses prior to onset,Number of disease-containing vaccination doses prior to illness onset,,2016-01-21 00:00:00
Vaccination Record ID,"Vaccination Record ID, from NBS MM",,2016-01-21 00:00:00
Vaccine Expiration Date,Vaccine expiration date,,2016-01-21 00:00:00
NDC Brand Name/Bar Code information,"NDC from the vaccine's bar code. With the NDC code, vaccine brand name and manufacturer can be obtained.",,2016-01-21 00:00:00
Vaccine dose number,"Indicates the dose number in a series
",,2016-01-21 00:00:00
Vaccine Event information source,Indicates whether the vaccine was administered by the provider organization recording the immunization or  obtained from a historical record,,2016-01-21 00:00:00
Immunization Schedule used,Identifies the schedule used for immunization evaluation and forecast.,,2016-01-21 00:00:00
Exemption/refusal reason,Indicates the reason the patient is either exempt from the immunization or refuses the immunization,,2016-01-21 00:00:00
Laboratory Confirmed,Was the case laboratory confirmed?,,2016-01-21 00:00:00
Performing Laboratory Type,Performing laboratory type,,2016-01-21 00:00:00
"Performing Laboratory Type, Other","If other, specify performing laboratory type",,2016-01-21 00:00:00
VPD Lab Message Patient Identifier,VPD Lab Message Patient Identifier,,2016-01-21 00:00:00
VPD Lab Message Observation Identifier,VPD Lab Message Observation Identifier,,2016-01-21 00:00:00
VPD Lab Message Observation Value,VPD Lab Message Observation Value,,2016-01-21 00:00:00
Specimen Collection Date,Date of specimen collection,,2016-01-21 00:00:00
Specimen Source,The medium from which the specimen originated,,2016-01-21 00:00:00
Numeric Test Result,Numeric quantitative result of the test(s) performed for this case,,2016-01-21 00:00:00
Numeric Test Result Units,Numeric quantitative result unit of the test(s) performed for this case,,2016-01-21 00:00:00
Chest X-ray result,Chest X-ray result,,2016-01-21 00:00:00
Was the rash generalized,Was the rash generalized,,2016-01-21 00:00:00
Reason for Hospitalization,"If the subject was hospitalized because of this event, indicate the reason(s).",,2016-06-07 00:00:00
